cell_set_accession	cell_label	Add_to_CL
CS20250428_CLASS_0000	Astro-Epen	False
CS20250428_CLASS_0001	CN CGE GABA	
CS20250428_CLASS_0002	CN GABA-Glut	True
CS20250428_CLASS_0003	CN LGE GABA	
CS20250428_CLASS_0005	CN MGE GABA	
CS20250428_CLASS_0006	F M GABA	
CS20250428_CLASS_0007	F M Glut	
CS20250428_CLASS_0008	Immune	False
CS20250428_CLASS_0009	M Dopa	
CS20250428_CLASS_0010	OPC-Oligo	False
CS20250428_CLASS_0011	Vascular	False
CS20250428_CLASS_0012	Cx GABA	
CS20250428_GROUP_0000	B cells	False
CS20250428_GROUP_0001	BAM	False
CS20250428_GROUP_0003	GPin-BF Cholinergic GABA	True
CS20250428_GROUP_0004	LAMP5-CXCL14 GABA	True
CS20250428_GROUP_0005	LAMP5-LHX6 GABA	True
CS20250428_GROUP_0008	BF SKOR1 Glut	True
CS20250428_GROUP_0009	COP	False
CS20250428_GROUP_0011	Endo	False
CS20250428_GROUP_0012	Ependymal	False
CS20250428_GROUP_0013	GPe MEIS2-SOX6 GABA	True
CS20250428_GROUP_0014	GPe SOX6-CTXND1 GABA	True
CS20250428_GROUP_0015	GPi Core	True
CS20250428_GROUP_0016	GPi Shell	True
CS20250428_GROUP_0017	ImAstro	False
CS20250428_GROUP_0018	ImOligo	False
CS20250428_GROUP_0019	Microglia	False
CS20250428_GROUP_0020	GPe-NDB-SI LHX6-LHX8-GBX1 GABA	True
CS20250428_GROUP_0022	Monocyte	False
CS20250428_GROUP_0023	OPC	False
CS20250428_GROUP_0024	OT D1 ICj	True
CS20250428_GROUP_0025	Oligo OPALIN	False
CS20250428_GROUP_0026	Oligo PLEKHG1	False
CS20250428_GROUP_0027	Pericyte	False
CS20250428_GROUP_0028	SMC	False
CS20250428_GROUP_0029	SN-VTR CALB1 Dopa	True
CS20250428_GROUP_0030	SN EBF2 GABA	True
CS20250428_GROUP_0031	SN-VTR GAD2 Dopa	True
CS20250428_GROUP_0032	SN GATA3-PAX8 GABA	True
CS20250428_GROUP_0033	SN GATA3-PVALB GABA	True
CS20250428_GROUP_0034	SN SEMA5A GABA	True
CS20250428_GROUP_0035	SN SOX6 Dopa	True
