defined_class	prefLabel	Taxonomy_label	Synonyms_from_taxonomy	Gross_cell_type	Taxon	Taxon_abbv	Brain_region	Cluster_IDs	Labelset	Dataset_url	Alias_citations	Short_form_citation	Parent_label	Minimal_markers	Allen_markers	Brain_region_abbv	Species_abbv	Individuals	part_of	has_soma_location	aligned_alias	CL	NT	NT_markers	MBA_assay	Subclass_markers	Matrix_url	Class_name	NT_label	Nomenclature_Layers	Nomenclature_Projection	evidence_marker_gene_set	marker_gene_set	marker_gene_set_confidence	ws_marker_gene_set	ws_marker_gene_set_confidence	nsforest_marker_gene_set_1	nsforest_marker_gene_set_1_confidence	nsforest_marker_gene_set_2	nsforest_marker_gene_set_2_confidence	MBA	MBA_text	Location_disclaimer	NT_disclaimer	Atlas_url	Atlas_url_label	Rationale_comment	Rationale_comment_dois	MBA_1	MBA_1_cell_percentage	MBA_1_comment	MBA_2	MBA_2_cell_percentage	MBA_2_comment	MBA_3	MBA_3_cell_percentage	MBA_3_comment	CCF_acronym_freq
http://purl.obolibrary.org/obo/PCL_0160013	CN LGE GABA	CN LGE GABA	CN LGE GABA	CL:0000617	NCBITaxon:9443	Primate	DHBA:10332	CS20250428_CLASS_0003	Class	https://purl.brain-bican.org/taxonomy/CCN20230722	https://alleninstitute.github.io/HMBA_BasalGanglia_Consensus_Taxonomy/	HMBA Basal Ganglia Consensus Taxonomy	Subpallium GABA			BG	Primate	https://purl.brain-bican.org/ontology/CCN20250428/CS20250428_CLASS_0003		DHBA:10332					EFO:0008992		https://purl.brain-bican.org/taxonomy/CCN20230722/CS20250428_NEIGH_0002.h5ad	CS20250428_NEIGH_0002																														
http://purl.obolibrary.org/obo/PCL_0160016	F M GABA	F M GABA	F M GABA	CL:0000617	NCBITaxon:9443	Primate	DHBA:10332	CS20250428_CLASS_0006	Class	https://purl.brain-bican.org/taxonomy/CCN20230722	https://alleninstitute.github.io/HMBA_BasalGanglia_Consensus_Taxonomy/	HMBA Basal Ganglia Consensus Taxonomy	Subpallium GABA			BG	Primate	https://purl.brain-bican.org/ontology/CCN20250428/CS20250428_CLASS_0006		DHBA:10332					EFO:0008992		https://purl.brain-bican.org/taxonomy/CCN20230722/CS20250428_NEIGH_0002.h5ad	CS20250428_NEIGH_0002																														
http://purl.obolibrary.org/obo/PCL_0160066	ACx MEIS2 GABA	ACx MEIS2 GABA	ACx MEIS2 GABA|Cx GABA	CL:0000617	NCBITaxon:9443	Primate	DHBA:10332	CS20250428_CLASS_0012|CS20250428_SUBCL_0036	Subclass	https://purl.brain-bican.org/taxonomy/CCN20230722	https://alleninstitute.github.io/HMBA_BasalGanglia_Consensus_Taxonomy/	HMBA Basal Ganglia Consensus Taxonomy	Subpallium GABA			BG	Primate	https://purl.brain-bican.org/ontology/CCN20250428/CS20250428_SUBCL_0036		DHBA:10332					EFO:0008992		https://purl.brain-bican.org/taxonomy/CCN20230722/CS20250428_NEIGH_0002.h5ad	CS20250428_NEIGH_0002																														
http://purl.obolibrary.org/obo/CL_4310096	GPi Shell	GPi Shell	CN GABA-Glut|GPi Shell|Subpallium GABA-Glut	CL:0020004	NCBITaxon:9443	Primate	DHBA:10332	CS20250428_NEIGH_0003|CS20250428_CLASS_0002|CS20250428_SUBCL_0014|CS20250428_GROUP_0016	Group	https://purl.brain-bican.org/taxonomy/CCN20230722	https://doi.org/10.1523/ENEURO.0208-22.2022|https://doi.org/10.1016/j.neuron.2017.03.017|https://alleninstitute.github.io/HMBA_BasalGanglia_Consensus_Taxonomy/	HMBA Basal Ganglia Consensus Taxonomy				BG	Primate	https://purl.brain-bican.org/ontology/CCN20250428/CS20250428_GROUP_0016		DHBA:10332		CL:0020004			EFO:0008992		https://purl.brain-bican.org/taxonomy/CCN20230722/CS20250428_NEIGH_0003.h5ad	CS20250428_NEIGH_0003				http://purl.obolibrary.org/obo/CLM_5050496									DHBA:10333|DHBA:10343|DHBA:10344	striatum (STR, 0.1), external segment of globus pallidus (GPe, 0.1), internal segment of globus pallidus (GPi, 0.6)					Rationale for assigning this type to reference data: Mapping to the general type GPi shell neuron (internal globus pallidus shell projection neuron) is based on soma location (to GPi & surrounding GPi core neurons), neurotransmitter (dual GABA-Glut), expression of sst, Sst,Tbr1,Slc17a6 and absence of Pvalb expression.	https://doi.org/10.1523/ENEURO.0208-22.2022|https://doi.org/10.1016/j.neuron.2017.03.017	DHBA:10333	0.1	Location assignment based on CCF broad region.	DHBA:10343	0.1	Location assignment based on CCF broad region.	DHBA:10344	0.6	Location assignment based on CCF broad region.	
http://purl.obolibrary.org/obo/PCL_0160011	CN CGE GABA	CN CGE GABA	CN CGE GABA	CL:0000617	NCBITaxon:9443	Primate	DHBA:10332	CS20250428_CLASS_0001	Class	https://purl.brain-bican.org/taxonomy/CCN20230722	https://alleninstitute.github.io/HMBA_BasalGanglia_Consensus_Taxonomy/	HMBA Basal Ganglia Consensus Taxonomy	Subpallium GABA			BG	Primate	https://purl.brain-bican.org/ontology/CCN20250428/CS20250428_CLASS_0001		DHBA:10332					EFO:0008992		https://purl.brain-bican.org/taxonomy/CCN20230722/CS20250428_NEIGH_0002.h5ad	CS20250428_NEIGH_0002																														
http://purl.obolibrary.org/obo/PCL_0160015	CN MGE GABA	CN MGE GABA	CN MGE GABA	CL:0000617	NCBITaxon:9443	Primate	DHBA:10332	CS20250428_CLASS_0005	Class	https://purl.brain-bican.org/taxonomy/CCN20230722	https://alleninstitute.github.io/HMBA_BasalGanglia_Consensus_Taxonomy/	HMBA Basal Ganglia Consensus Taxonomy	Subpallium GABA			BG	Primate	https://purl.brain-bican.org/ontology/CCN20250428/CS20250428_CLASS_0005		DHBA:10332					EFO:0008992		https://purl.brain-bican.org/taxonomy/CCN20230722/CS20250428_NEIGH_0002.h5ad	CS20250428_NEIGH_0002																														
http://purl.obolibrary.org/obo/PCL_0160055	M Dopa	M Dopa	M Dopa	CL:4042025	NCBITaxon:9443	Primate	DHBA:10332	CS20250428_CLASS_0009|CS20250428_SUBCL_0025	Subclass	https://purl.brain-bican.org/taxonomy/CCN20230722	https://alleninstitute.github.io/HMBA_BasalGanglia_Consensus_Taxonomy/	HMBA Basal Ganglia Consensus Taxonomy	Glut Sero Dopa			BG	Primate	https://purl.brain-bican.org/ontology/CCN20250428/CS20250428_SUBCL_0025		DHBA:10332		CL:4042025			EFO:0008992		https://purl.brain-bican.org/taxonomy/CCN20230722/CS20250428_NEIGH_0000.h5ad	CS20250428_NEIGH_0000																														
http://purl.obolibrary.org/obo/PCL_0160017	F M Glut	F M Glut	F M Glut	CL:0000700	NCBITaxon:9443	Primate	DHBA:10332	CS20250428_CLASS_0007	Class	https://purl.brain-bican.org/taxonomy/CCN20230722	https://alleninstitute.github.io/HMBA_BasalGanglia_Consensus_Taxonomy/	HMBA Basal Ganglia Consensus Taxonomy	Glut Sero Dopa			BG	Primate	https://purl.brain-bican.org/ontology/CCN20250428/CS20250428_CLASS_0007		DHBA:10332					EFO:0008992		https://purl.brain-bican.org/taxonomy/CCN20230722/CS20250428_NEIGH_0000.h5ad	CS20250428_NEIGH_0000																														
http://purl.obolibrary.org/obo/PCL_0160020	OPC-Oligo	OPC-Oligo	OPC-Oligo	CL:0000095	NCBITaxon:9443	Primate	DHBA:10332	CS20250428_CLASS_0010	Class	https://purl.brain-bican.org/taxonomy/CCN20230722	https://alleninstitute.github.io/HMBA_BasalGanglia_Consensus_Taxonomy/	HMBA Basal Ganglia Consensus Taxonomy	Nonneuron			BG	Primate	https://purl.brain-bican.org/ontology/CCN20250428/CS20250428_CLASS_0010		DHBA:10332		CL:0000095			EFO:0008992		https://purl.brain-bican.org/taxonomy/CCN20230722/CS20250428_NEIGH_0001.h5ad	CS20250428_NEIGH_0001																														
http://purl.obolibrary.org/obo/PCL_0160010	Astro-Epen	Astro-Epen	Astro-Epen	CL:0000125	NCBITaxon:9443	Primate	DHBA:10332	CS20250428_CLASS_0000	Class	https://purl.brain-bican.org/taxonomy/CCN20230722	https://alleninstitute.github.io/HMBA_BasalGanglia_Consensus_Taxonomy/	HMBA Basal Ganglia Consensus Taxonomy	Nonneuron			BG	Primate	https://purl.brain-bican.org/ontology/CCN20250428/CS20250428_CLASS_0000		DHBA:10332		CL:0000125			EFO:0008992		https://purl.brain-bican.org/taxonomy/CCN20230722/CS20250428_NEIGH_0001.h5ad	CS20250428_NEIGH_0001																														
