defined_class	Marker_set_of	Markers	Markers_label	Species_abbv	Brain_region	Parent	FBeta_confidence_score	Algorithm	Source	Reference	precision	recall	Cell_label	Labelset	Atlas_url	Atlas_url_label
http://purl.obolibrary.org/obo/CLM_5050496	GPi Shell	NCBIGene:6752|NCBIGene:10716|NCBIGene:57084	Sst, Tbr1, Slc17a6	Primate	DHBA:10332	SO:0001260			CAS evidence				CN GABA-Glut	Class		
http://purl.obolibrary.org/obo/CLM_5050493	GPe MEIS2-SOX6 GABA	NCBIGene:2571|NCBIGene:2572|NCBIGene:93986|NCBIGene:4212|NCBIGene:4861	GAD1, GAD2, FOXP2, MEIS2, NPAS1	Primate	DHBA:10332	SO:0001260			CAS evidence				GPe MEIS2-SOX6 GABA	Group		
http://purl.obolibrary.org/obo/CLM_5050495	GPi Core	NCBIGene:5816	Pvalb	Primate	DHBA:10332	SO:0001260			CAS evidence				GPi Core	Group		
http://purl.obolibrary.org/obo/CLM_5050494	GPe SOX6-CTXND1 GABA	NCBIGene:55553|NCBIGene:3736	SOX6, KCNA1	Primate	DHBA:10332	SO:0001260			CAS evidence				GPe SOX6-CTXND1 GABA	Group		
http://purl.obolibrary.org/obo/CLM_5050529	STRd D1 Matrix MSN	NCBIGene:1812|NCBIGene:29091	DRD1, STXBP6	Primate	DHBA:10332	SO:0001260			CAS evidence				STRd D1 Matrix MSN	Group		
http://purl.obolibrary.org/obo/CLM_5050527	VIP GABA	NCBIGene:7432	VIP	Primate	DHBA:10332	SO:0001260			CAS evidence				VIP GABA	Group		
http://purl.obolibrary.org/obo/CLM_5050504	OT D1 ICj	NCBIGene:1812|NCBIGene:131034	DRD1, CPNE4	Primate	DHBA:10332	SO:0001260			CAS evidence				OT D1 ICj	Group		
http://purl.obolibrary.org/obo/CLM_5050530	STRd D1 Striosome MSN	NCBIGene:1812|NCBIGene:30820	DRD1, KCNIP1	Primate	DHBA:10332	SO:0001260			CAS evidence				STRd D1 Striosome MSN	Group		
http://purl.obolibrary.org/obo/CLM_5050532	STRd D2 Matrix MSN	NCBIGene:1813|NCBIGene:29091	DRD2, STXBP6	Primate	DHBA:10332	SO:0001260			CAS evidence				STRd D2 Matrix MSN	Group		
http://purl.obolibrary.org/obo/CLM_5050534	STRd D2 Striosome MSN	NCBIGene:1813|NCBIGene:30820	DRD2, KCNIP1	Primate	DHBA:10332	SO:0001260			CAS evidence				STRd D2 Striosome MSN	Group		
http://purl.obolibrary.org/obo/CLM_5050536	STRv D1 MSN	NCBIGene:1812|NCBIGene:395	DRD1, ARHGAP6	Primate	DHBA:10332	SO:0001260			CAS evidence				STRv D1 MSN	Group		
http://purl.obolibrary.org/obo/CLM_5050538	STRv D2 MSN	NCBIGene:1813|NCBIGene:395	DRD2, ARHGAP6	Primate	DHBA:10332	SO:0001260			CAS evidence				STRv D2 MSN	Group		
http://purl.obolibrary.org/obo/CLM_5050531	STR D1D2 Hybrid MSN	NCBIGene:1812|NCBIGene:1813|NCBIGene:1395|NCBIGene:2897	DRD1, DRD2, CRHR2, GRIK1	Primate	DHBA:10332	SO:0001260			CAS evidence				STR D1D2 Hybrid MSN	Group		
http://purl.obolibrary.org/obo/CLM_5050537	STRv D1 NUDAP MSN	NCBIGene:1812|NCBIGene:2893	DRD1, GRIA4	Primate	DHBA:10332	SO:0001260			CAS evidence				STRv D1 NUDAP MSN	Group		
http://purl.obolibrary.org/obo/CLM_5050513	SN GATA3-PVALB GABA	NCBIGene:6496|NCBIGene:27086	SIX3, FOXP1	Primate	DHBA:10332	SO:0001260			CAS evidence				SN GATA3-PVALB GABA	Group		
http://purl.obolibrary.org/obo/CLM_5050512	SN GATA3-PAX8 GABA	NCBIGene:5079|NCBIGene:64919|NCBIGene:11281	PAX5, BCL11B, POU6F2	Primate	DHBA:10332	SO:0001260			CAS evidence				SN GATA3-PAX8 GABA	Group		
http://purl.obolibrary.org/obo/CLM_5050484	LAMP5-CXCL14 GABA	NCBIGene:24141|NCBIGene:9547	LAMP5, CXCL14	Primate	DHBA:10332	SO:0001260			CAS evidence				LAMP5-CXCL14 GABA	Group		
http://purl.obolibrary.org/obo/CLM_5050523	STR SST-CHODL GABA	NCBIGene:4852	NPY	Primate	DHBA:10332	SO:0001260			CAS evidence				STR SST-CHODL GABA	Group		
http://purl.obolibrary.org/obo/CLM_5050485	LAMP5-LHX6 GABA	NCBIGene:24141|NCBIGene:26468	LAMP5, LHX6	Primate	DHBA:10332	SO:0001260			CAS evidence				LAMP5-LHX6 GABA	Group		
http://purl.obolibrary.org/obo/CLM_5050520	STR FS PTHLH-PVALB GABA	NCBIGene:9705|NCBIGene:5744|NCBIGene:1310	ST18, PTHLH, COL19A1	Primate	DHBA:10332	SO:0001260			CAS evidence				STR FS PTHLH-PVALB GABA	Group		
http://purl.obolibrary.org/obo/CLM_5050525	STR TAC3-PLPP4 GABA	NCBIGene:9705	ST18	Primate	DHBA:10332	SO:0001260			CAS evidence				STR TAC3-PLPP4 GABA	Group		
http://purl.obolibrary.org/obo/CLM_5050511	SN-VTR GAD2 Dopa	NCBIGene:7054|NCBIGene:2572	TH, GAD2	Primate	DHBA:10332	SO:0001260			CAS evidence				SN-VTR GAD2 Dopa	Group		
http://purl.obolibrary.org/obo/CLM_5050515	SN SOX6 Dopa	NCBIGene:7054|NCBIGene:55553	TH, SOX6	Primate	DHBA:10332	SO:0001260			CAS evidence				SN SOX6 Dopa	Group		
http://purl.obolibrary.org/obo/CLM_5050509	SN-VTR CALB1 Dopa	NCBIGene:7054|NCBIGene:793|NCBIGene:6531|NCBIGene:4929|NCBIGene:54796	TH, CALB1, SLC6A3, NR4A2, BNC2	Primate	DHBA:10332	SO:0001260			CAS evidence				SN-VTR CALB1 Dopa	Group		
http://purl.obolibrary.org/obo/CLM_5050544	VTR-HTH Glut	NCBIGene:57084	SLC17A6	Primate	DHBA:10332	SO:0001260			CAS evidence				VTR-HTH Glut	Group		
http://purl.obolibrary.org/obo/PCL_0160923	OPC	NCBIGene:5156|NCBIGene:1297	PDGFRA, COL9A1	Primate	DHBA:10332	SO:0001260			CAS evidence				OPC	Group		
